7235-1,Police Motorcycle,2005,City,Modern day,Police,Normal,Box,Retail,28,1,3.99,4,8
7236-1,Police Car,2005,City,Modern day,Police,Normal,Box,Retail,59,1,5.99,3,11
7238-1,Fire Helicopter,2005,City,Modern day,Fire,Normal,Box,Retail,75,1,9.99,2,24.99
7239-1,Fire Truck,2005,City,Modern day,Fire,Normal,Box,Retail,214,2,22.99,4,25.2
7241-1,Fire Car,2005,City,Modern day,Fire,Normal,Box,Retail,46,1,3.99,1,8
7242-1,Street Sweeper,2005,City,Modern day,Construction,Normal,Box,Retail,63,1,7.99,3,20
7243-1,Construction Site,2005,City,Modern day,Construction,Normal,Box,Retail,298,3,39.99,2,75
7245-1,Prisoner Transport,2005,City,Modern day,Police,Normal,Box,Retail,98,2,12.99,1,33.7309
7246-1,Mini Digger,2005,City,Modern day,Construction,Normal,Box,Retail,36,1,3.99,1,10
7249-1,XXL Mobile Crane,2005,City,Modern day,Construction,Normal,Box,Retail,524,2,69.99,2,210
10144-1,Sandcrawler,2005,Star Wars,Licensed,Episode IV,Normal,Box,LEGO exclusive,1669,11,139.99,5,388.88
6205-1,V-wing Fighter,2006,Star Wars,Licensed,Episode III,Normal,Box,Retail,118,1,10,11,46.3719
6208-1,B-wing Fighter,2006,Star Wars,Licensed,Episode VI,Normal,Box,Retail,435,2,34.99,12,150
6209-1,Slave I,2006,Star Wars,Licensed,Episode V,Normal,Box,Retail,537,4,49.99,3,350
6210-1,Jabba's Sail Barge,2006,Star Wars,Licensed,Episode VI,Normal,Box,Retail,781,8,74.99,5,619.5476
6212-1,X-wing Fighter,2006,Star Wars,Licensed,Episode V,Normal,Box,Retail,437,6,49.99,6,95.4406
7700-1,Stealth Hunter,2006,Exo-Force,Action/Adventure,Original,Normal,Box,Retail,164,1,14.99,7,74.0969
7890-1,Ambulance,2006,City,Modern day,Medical,Normal,Box,Retail,118,1,7.99,4,49.99
7891-1,Airport Fire Truck,2006,City,Modern day,Airport,Normal,Box,Retail,148,1,14.99,2,39.55
7901-1,Airplane Mechanic,2006,City,Modern day,Airport,Normal,Box,Retail,26,1,3.49,2,17
7902-1,Doctor's Car,2006,City,Modern day,Medical,Normal,Box,Retail,66,1,5.99,1,24.99
7903-1,Rescue Helicopter,2006,City,Modern day,Medical,Normal,Box,Retail,249,3,19.99,2,55
7905-1,Building Crane,2006,City,Modern day,Construction,Normal,Box,Retail,721,3,69.99,3,330.3712
10173-1,Holiday Train,2006,Advanced models,Model making,Trains,Normal,Box,LEGO exclusive,965,7,89.99,2,499.97
10176-1,King's Castle,2006,Castle,Historical,Knights' Kingdom II,Normal,Box,LEGO exclusive,869,12,99.99,1,499
4936-1,Doc & Patient,2007,City,Modern day,Medical,Normal,Polybag,Retail - limited,18,2,2.99,2,22
7664-1,TIE Crawler,2007,Star Wars,Licensed,Legends,Normal,Box,Retail,548,2,49.99,2,189
7690-1,MB-01 Eagle Command Base,2007,Space,Action/Adventure,Mars Mission,Normal,Box,Retail,760,8,89.99,1,197.991
7691-1,ETX Alien Mothership Assault ,2007,Space,Action/Adventure,Mars Mission,Normal,Box,Retail,434,7,49.99,1,180
7692-1,MX-71 Recon Dropship ,2007,Space,Action/Adventure,Mars Mission,Normal,Box,Retail,435,6,39.99,2,151.65
7693-1,ETX Alien Strike,2007,Space,Action/Adventure,Mars Mission,Normal,Box,Retail,246,3,19.99,1,88.099
7695-1,MX-11 Astro Fighter ,2007,Space,Action/Adventure,Mars Mission,Normal,Box,Retail,57,2,4.99,1,26.0408
7699-1,MT-101 Armored Drilling Unit,2007,Space,Action/Adventure,Mars Mission,Normal,Box,Retail,635,5,79.99,1,225
7907-1,City Advent Calendar,2007,City,Modern day,Seasonal,Normal,Box,Retail - limited,232,8,24.99,1,15
7942-1,Off-Road Fire Rescue,2007,City,Modern day,Fire,Normal,Box,Retail,131,1,9.99,4,22.3226
7944-1,Fire Hovercraft,2007,City,Modern day,Fire,Normal,Box,Retail,274,3,29.99,2,97.0516
7945-1,Fire Station,2007,City,Modern day,Fire,Normal,Box,Retail,600,4,59.99,1,133.0887
7990-1,Cement Mixer,2007,City,Modern day,Traffic,Normal,Box,Retail,213,1,14.99,1,99.99
7992-1,Container Stacker,2007,City,Modern day,Harbor,Normal,Box,Retail,218,1,19.99,1,51
7993-1,Service Station,2007,City,Modern day,Town,Normal,Box,Retail,402,3,39.99,2,92
7994-1,LEGO City Harbor,2007,City,Modern day,Harbor,Normal,Box,Retail,659,5,89.99,1,399
7997-1,Train Station,2007,City,Modern day,Trains,Normal,Box,Retail,387,5,44.99,2,185
10178-1,Motorized Walking AT-AT,2007,Star Wars,Licensed,Episode V,Normal,Box,LEGO exclusive,1137,4,129.99,1,590
